epoch,acc,loss,val_acc,val_loss
0,0.3130028910799715,1.783121205450844,0.39398161047645586,1.6372412760366002
1,0.4266954613546206,1.5032712743052197,0.32320980774796615,1.857537537107364
2,0.48448221812079145,1.3750072781155778,0.5206185567093348,1.3363707334957404
3,0.5114772371033474,1.305122191843109,0.5353859013735867,1.2906289370022102
4,0.5226235675228987,1.2619145364612534,0.5437447757118424,1.2195783540976017
5,0.5365564805472083,1.2331014591190332,0.5415157425798856,1.2454731625147468
6,0.5462050228192974,1.209674958226208,0.5718863193422149,1.1723861046972033
7,0.5539726218300606,1.1852099102942513,0.5788520479408205,1.1493838400055552
8,0.5608694137768369,1.1668118100591687,0.5601838952437455,1.1943771738167692
9,0.564422306593751,1.1517781578695983,0.5528002354586546,1.2257810899700816
10,0.5722247378912261,1.1412040876359781,0.5814990248312091,1.1274849019299047
